#{"t_start": 1749544830.3053637, "env_id": "Pendulum-v1"}
r,l,t
-746.166345,200,212.947875
-885.04843,200,213.080868
-980.145751,200,213.223158
-896.135974,200,213.388504
-813.607242,200,215.073294
-888.779604,200,215.216319
-759.948487,200,215.347516
-923.348815,200,215.504292
-858.214766,200,215.633609
-883.786944,200,215.787484
-738.259213,200,215.923128
-766.666126,200,216.073087
-873.963175,200,216.203777
-798.136985,200,216.363178
-880.847775,200,216.526391
-798.619206,200,218.145366
-976.829275,200,218.274048
-754.163583,200,218.412332
-854.446931,200,218.555274
-762.720305,200,218.682066
-753.315224,200,218.82755
-876.37022,200,218.962689
-748.515912,200,219.106936
-744.288747,200,219.273265
-750.702397,200,219.436427
-729.214468,200,221.248549
-973.012741,200,221.391948
-730.9984,200,221.519618
-741.943709,200,221.687959
-788.749465,200,221.846882
-907.370138,200,221.984128
-757.739225,200,222.112006
-870.412896,200,222.25289
-863.207678,200,222.385575
-744.494605,200,222.545868
-852.0562,200,224.127853
-773.154726,200,224.266674
-864.817059,200,224.393274
-756.087234,200,224.493056
-760.289702,200,224.588154
-763.535023,200,224.697191
-760.496384,200,224.805481
-870.13969,200,224.894837
-763.32956,200,225.028988
-865.760865,200,225.184572
-766.324826,200,225.34092
-751.952225,200,225.480564
-794.851628,200,225.623452
-763.84177,200,225.803724
-897.048604,200,225.988954
-755.26956,200,227.722718
-629.794661,200,227.849889
-754.015727,200,228.007431
-694.47096,200,228.175866
-893.498767,200,228.317481
-820.479568,200,228.447402
-719.396565,200,228.592606
-758.94131,200,228.71564
-653.374341,200,228.905021
-779.10871,200,229.04669
-749.171373,200,229.177874
-758.47934,200,230.823909
-760.736151,200,230.953468
-750.563134,200,231.111654
-1017.155015,200,231.254461
-761.024863,200,231.396224
-767.747961,200,231.539218
-750.957169,200,231.681398
-771.43858,200,231.820799
-740.963919,200,231.960791
-880.917226,200,232.098632
-759.711175,200,234.017194
-866.687353,200,234.186339
-992.260758,200,234.358742
-862.64941,200,234.625648
-675.017228,200,234.828439
-908.250364,200,235.070566
-881.973688,200,235.244678
-802.783028,200,235.430503
-837.809974,200,235.637796
-892.200092,200,235.785153
-862.533475,200,237.616789
-649.199556,200,237.759399
-749.411601,200,237.893274
-748.602411,200,238.028614
-745.548818,200,238.158937
-751.147443,200,238.301652
-753.387919,200,238.428828
-837.334609,200,238.570476
-771.989191,200,238.719434
-896.072851,200,238.846893
-811.738885,200,240.421466
-762.719899,200,240.549196
-593.384776,200,240.644868
-752.040177,200,240.762922
-620.409697,200,240.869176
-619.243951,200,240.965662
-623.242624,200,241.061813
-867.493747,200,241.203428
-630.086171,200,241.347034
-846.097204,200,241.474008
-737.055973,200,241.608283
-639.056449,200,241.748714
-828.795364,200,241.892217
-667.958589,200,242.017807
-735.853722,200,242.145769
-672.109114,200,243.673851
-751.996381,200,243.809074
-790.684344,200,243.972406
-755.206632,200,244.119185
-632.376532,200,244.261399
-761.147435,200,244.414861
-879.706457,200,244.548111
-748.055967,200,244.711654
-738.275858,200,244.858507
-963.592675,200,244.999767
-844.264069,200,245.145877
-707.339836,200,246.717917
-740.67721,200,246.873101
-730.655555,200,247.025949
-856.817026,200,247.158837
-748.013157,200,247.29207
-737.797607,200,247.448922
-819.962033,200,247.630209
-751.579205,200,247.789114
-631.36063,200,247.951875
-623.564136,200,248.110458
-659.675677,200,249.71063
-744.598636,200,249.877672
-630.412603,200,250.035275
-760.856438,200,250.178705
-624.775377,200,250.323369
-759.368626,200,250.459518
-764.865465,200,250.63661
-631.750889,200,250.783475
-750.428503,200,250.930503
-857.034654,200,251.091871
-874.968374,200,252.730551
-749.476073,200,252.880287
-677.854742,200,253.043425
-640.095861,200,253.201688
-622.765734,200,253.333711
-743.825236,200,253.460805
-710.638333,200,253.636024
-759.488413,200,253.795954
-630.685312,200,253.933489
-634.151873,200,254.085592
-845.510172,200,255.664816
-630.917688,200,255.791591
-650.545689,200,255.895099
-744.221693,200,255.989407
-632.303928,200,256.085422
-631.215579,200,256.194184
-744.973287,200,256.337803
-625.056576,200,256.490792
-608.176841,200,256.63646
-623.92166,200,256.789017
-838.650052,200,256.927061
-740.745799,200,257.106863
-778.476527,200,257.273456
-750.245013,200,257.405379
-773.430935,200,257.530031
-617.387808,200,257.697989
-631.338446,200,259.451972
-613.82563,200,259.58479
-627.440392,200,259.712296
-657.425387,200,259.86275
-741.540575,200,260.004151
-672.719037,200,260.157755
-764.955785,200,260.312114
-749.946871,200,260.450063
-739.913968,200,260.597123
-638.743294,200,260.720974
-627.849293,200,262.379561
-623.673231,200,262.522699
-629.354653,200,262.65286
-695.726155,200,262.763247
-619.99514,200,262.90115
-629.675667,200,263.048841
-740.127629,200,263.191918
-683.988011,200,263.324422
-635.690032,200,263.472453
-629.196286,200,263.615059
-742.878721,200,265.293713
-647.918731,200,265.412635
-814.324328,200,265.554912
-637.026496,200,265.682562
-634.829749,200,265.809839
-725.46504,200,265.955385
-626.594904,200,266.116078
-722.754693,200,266.237306
-718.327212,200,266.380643
-627.971201,200,266.533013
-606.590471,200,268.751293
-505.650131,200,268.994594
-633.081699,200,269.219434
-634.347361,200,269.463053
-559.476866,200,269.693339
-474.910206,200,269.898082
-626.64977,200,270.073911
-636.994674,200,270.276302
-744.716361,200,270.419635
-503.52091,200,270.547159
-393.390041,200,270.691034
-633.287079,200,270.803112
-648.609708,200,270.907124
-640.46026,200,271.001363
-503.258399,200,271.091158
-634.270953,200,271.249279
-617.082202,200,272.945224
-849.297838,200,273.088472
-798.194643,200,273.229595
-735.001559,200,273.343039
-590.201397,200,273.518141
-762.130801,200,273.66343
-632.76493,200,273.814891
-634.115777,200,273.955426
-639.088789,200,274.098003
-632.474235,200,274.270834
-680.41217,200,275.974638
-965.385248,200,276.101092
-621.678532,200,276.227948
-509.637409,200,276.368694
-737.03405,200,276.531033
-641.026838,200,276.670346
-508.227702,200,276.807827
-625.730301,200,276.956218
-730.947327,200,277.077849
-630.613031,200,277.263919
-764.322214,200,278.923541
-623.629849,200,279.051206
-628.709228,200,279.194971
-621.440431,200,279.322196
-626.773887,200,279.49126
-614.220409,200,279.646384
-625.913252,200,279.77158
-749.923994,200,279.900828
-630.00861,200,280.04164
-637.397094,200,280.202459
-504.602067,200,281.832374
-623.400483,200,281.962029
-505.493304,200,282.093707
-618.281218,200,282.215973
-740.452213,200,282.384571
